time,PTJ,border,TJRE,IB pier,Silver Strand,HdC
2025-03-16 00:00:00,-2.5885257476053027,-2.558281480925066,-2.1696664930039233,-4.211863833489899,-4.198825818608737,-4.578131107294759
2025-03-16 01:00:00,-2.631481696039612,-2.612039204683061,-2.2201531586584493,-4.200433253448676,-4.210117946078002,-4.620284110523743
2025-03-16 02:00:00,-2.6743354963389545,-2.5996737748016123,-2.5429125504747256,-4.253116455307177,-4.219660673570885,-4.662505035104857
2025-03-16 03:00:00,-2.713594967610462,-2.659621102632041,-3.3767151429676177,-4.300731182137395,-4.225734212404856,-4.66910211575841
2025-03-16 04:00:00,-2.738352437082982,-2.7551548406868673,-4.178164528872226,-4.298946345339653,-4.224222136919639,-4.663879876485193
2025-03-16 05:00:00,-2.8111090177149394,-3.001508279062661,-4.212640821777932,-4.248615969250744,-4.223617138447634,-4.613453251355091
2025-03-16 06:00:00,-2.9211902024121437,-3.2450104404877353,-4.21867773221673,-4.189325192684905,-4.229692516925415,-4.566819552560222
2025-03-16 07:00:00,-3.118859217055357,-3.532637746111563,-4.028823518954541,-4.202444301743528,-4.236128037589737,-4.522786654690703
2025-03-16 08:00:00,-3.3485744204748857,-3.8097817020545572,-2.556349014680589,-4.258094568104859,-4.243119980106772,-4.529716387662966
2025-03-16 09:00:00,-3.608094352033005,-3.8337225551736887,-2.812424957473617,-4.35567935691012,-4.2552201753473025,-4.518023778202662
2025-03-16 10:00:00,-3.8726526112103947,-2.818680027673794,-2.8352913892161986,-4.362331021329753,-4.263774396234614,-4.571263937304155
2025-03-16 11:00:00,-3.663662324250452,-2.9153499307416353,-2.777181478263537,-4.348397625178288,-4.268894611602074,-4.569844589906489
2025-03-16 12:00:00,-3.0161909694829823,-3.000533446574529,-2.768538140131642,-4.335191350780125,-4.273306953714984,-4.588684051448461
2025-03-16 13:00:00,-3.0461038215791536,-3.0214936488327426,-2.501190054081004,-4.32933158132156,-4.281564188831998,-4.6030060974496605
2025-03-16 14:00:00,-3.1027300581281034,-3.0173251292888397,-2.3281869615385475,-4.327745271756378,-4.293805235410717,-4.627003725625357
2025-03-16 15:00:00,-3.143000503396102,-2.869513036185469,-2.766347041472881,-4.326483096756901,-4.3063458694954475,-4.626369318145847
2025-03-16 16:00:00,-3.136052412551846,-2.7530586450663446,-3.518321651073644,-4.338895495123858,-4.318613415808466,-4.600055974234969
2025-03-16 17:00:00,-3.026761954424818,-2.8979358640010866,-4.203900391290672,-4.369947947588706,-4.331466096782803,-4.606856271242415
2025-03-16 18:00:00,-2.915663578428742,-3.1708182476340343,-4.431905749891969,-4.385023171014017,-4.338638504446621,-4.589518954303273
2025-03-16 19:00:00,-3.0086143795484763,-3.623086482858235,-4.271623479682484,-4.378545595908832,-4.344209359122285,-4.62127855878723
2025-03-16 20:00:00,-3.2675058537409614,-4.143339400411403,-2.41879184020886,-4.37319345893011,-4.342878064682439,-4.5717412978309735
2025-03-16 21:00:00,-3.6647203083779596,-4.338669758467252,-2.859032549305153,-4.379006831559672,-4.338982905228305,-4.61861198912836
2025-03-16 22:00:00,-4.04557772240882,-3.100933567320177,-2.9235896084884394,-4.398213161096753,-4.333001757102192,-4.613242578584218
2025-03-16 23:00:00,-4.266467562535302,-3.006970202462494,-2.9180490974389244,-4.4189920641122304,-4.324620923182995,-4.616252691504314
2025-03-17 00:00:00,-3.5967455996415194,-3.182974335685624,-2.888717392249374,-4.434350020131165,-4.318326154117068,-4.616862738086337
2025-03-17 01:00:00,-3.2313570845650004,-3.2693518295048536,-2.6574713453939025,-4.445644130303065,-4.313302886528576,-4.61000601738795
2025-03-17 02:00:00,-3.276383115279111,-3.3112788564082276,-2.7953050845466976,-4.458347673963336,-4.311428841489008,-4.5933657838811275
2025-03-17 03:00:00,-3.3673737043172434,-3.3208534644177496,-3.463152925880193,-4.474571027653341,-4.3072912224831565,-4.568719161358326
2025-03-17 04:00:00,-3.4439905852362247,-3.2374282098728098,-4.282671705245983,-4.483646286340618,-4.3060883445666125,-4.598912443952909
2025-03-17 05:00:00,-3.476391781872645,-3.2043554567129586,-4.586054355970966,-4.495281317471866,-4.302214500542175,-4.567204992519374
2025-03-17 06:00:00,-3.4978778407408284,-3.3076443560621627,-4.609755258974143,-4.506302754613466,-4.301493654595291,-4.54907906132084
